from,to,cost
6200,6300,1297.321844676364
6200,7000,5997.449048922715
6200,7100,5199.43088951688
6200,7800,10084.324153319738
6200,7900,7529.150142342139
6200,10600,12744.62611424058
6200,10700,10465.357204478034
6200,13700,12827.422132310076
6200,15400,1818.9658658787803
6200,20000,9038.201963927506
6200,20100,2995.460619415672
6200,22200,17872.639963915866
6200,22300,11183.88237086876
6200,25400,11945.345288228575
6200,25500,3965.145436737275
6200,27600,6393.700535064724
6200,27700,6971.220835276398
6200,30000,13316.631407313485
6200,30100,11174.890240484328
6200,30500,4175.67172346836
6200,30600,8597.600509578779
6200,30700,9828.788935771227
6200,100,14729.638286196976
6200,200,14309.36937897822
6200,300,11229.515748481292
6200,400,11473.774170827368
6200,500,11180.87944420905
6200,600,4081.6561739096414
6200,700,4907.550374363698
6200,800,6225.711801892264
6200,900,11425.432569366243
6200,1000,12701.069647488346
6200,1100,9773.008325678196
6200,1200,8519.931565028253
6200,1500,14638.392862175673
6200,1600,13266.269841086792
6200,1900,8016.455786233597
6200,2000,8349.494017335233
6200,2200,9122.432923793382
6200,2300,8714.387724797629
6200,2700,2523.0993807644595
6200,2800,3287.727348309818
6200,3100,15868.994103862862
6200,3200,14804.641905994464
6200,3300,6819.045887844791
6200,3400,7827.340833234427
6200,4000,14531.827212279226
6200,4100,15829.649486585482
6200,4200,15735.150271321445
6200,4300,6548.483677233844
6200,4800,3008.2464595405286
6200,4900,9231.420285735332
6200,5200,17712.21599484321
6200,5300,15446.114728904618
6200,6000,12899.22815438986
6200,6100,12536.82096461392
6200,6200,7956.959747001982
6200,6300,5176.995605791428
6200,6400,8107.529248770961
6200,6500,7079.764708494398
6200,6600,12395.107176554782
6200,6700,13462.705169874787
6200,6800,14222.430640092007
6200,6900,14540.34618300453
6200,7000,5518.986291546264
6200,7100,5735.637131827827
6200,7200,13969.48592347828
6200,7300,18424.58873119839
6200,7400,11234.49200802499
6200,7500,12373.56916658941
6200,7600,15999.202766006712
6200,7700,16853.87684628252
6200,8000,17238.157212952883
6200,8100,16803.273345059395
6200,8200,11616.432888190551
6200,8300,9321.426317881173
6200,8400,16075.15260451535
6200,8500,14746.441023235184
6200,8600,12216.015265953192
6200,8700,13373.587103536283
6200,9000,6678.11731597205
6200,9100,5595.694395788671
6200,9400,11414.967364931226
6200,9500,9053.991366550088
6200,10000,19081.517021652224
6200,10100,18135.91424897188
6200,10200,3593.2513756717995
6200,10300,5872.617417447378
6200,10600,13911.749344492435
6200,10700,13160.589434310881
6200,10800,15227.977872620835
6200,10900,9390.87147659813
6200,11000,14175.249614872731
6200,11100,12866.955749916186
6200,11400,13506.10391591267
6200,11500,10909.772111783006
6200,11800,5312.044711636012
6200,11900,3345.298278986564
6200,12000,9411.402438958823
6200,12100,12241.58177709689
6200,12400,14498.869127825548
6200,12500,9955.727036611008
6200,12600,12169.506403299578
6200,12700,13235.666158757207
6200,12800,5939.990919581803
6200,12900,12355.676104463459
6200,13200,5635.620764808722
6200,13300,10966.121475767339
6200,13400,5871.739405570008
6200,13500,6848.227952235447
6200,13600,7421.229888732198
6200,13700,13480.449250159541
6200,13800,7525.716982402027
6200,13900,1945.360738435392
6200,14000,15292.478629958365
6200,14100,16432.153216065362
6200,14200,18138.025198480707
6200,14300,9374.668735200772
6200,14400,15861.702150533732
6200,14500,9689.167348060775
6200,15000,7659.318440423946
6200,15100,7147.565096178168
6200,15400,7993.04023592052
6200,15500,5350.340791148183
6200,15600,11308.749624474312
6200,15700,10926.289903286091
6200,16000,13377.697155137941
6200,16100,16116.943090802077
6200,16200,17871.762470327656
6200,16300,14698.87053819872
6200,16600,5155.019957306178
6200,16700,13517.918336405737
6200,17000,11626.200232119421
6200,17100,14768.4989950093
6200,17200,5583.291883283417
6200,17300,7047.263535839804
6200,18200,7963.830684306335
6200,18300,18222.03178212135
6200,18400,3588.2462417820366
6200,18500,16680.828864005805
6200,18600,10738.606018233448
6200,18700,5012.0392788771105
6200,18800,8917.27990016943
6200,18900,8521.16396618411
6200,19000,11983.836042605046
6200,19100,15298.640624802443
6200,19200,11744.794669459097
6200,19300,12138.13018537656
6200,19400,14414.567027395758
6200,19500,11126.228768153096
6200,19800,10397.91979115082
6200,19900,9190.56508023873
6200,20200,15459.759777221963
6200,20300,16802.490535976845
6200,20400,8681.55511477514
6200,20500,11487.781916667402
6200,20600,10735.148473999743
6200,20700,9721.289978593046
6200,20800,7998.113375628625
6200,20900,14086.24976120005
